FigureNumber,Caption,MediaFile,RelationshipId,DocumentBodyIndex,CaptionBodyIndex,CaptionDistanceElements,SizeBytes,SHA256,SourceDOCXSHA256
4.2,"Figure 4.2. Median p99 latency by platform and scenario; asterisks inside cells flag one or more timeout-censored replications, so the displayed p99 is a lower-bound indicator. This figure visualises the median p99 values recorded in Table 4.2.",image19.png,rId80,717,718,1,301181,CCB78B6ECDF02F6DC66F7E0EB00C86094CCB395D304B162026466CA516E91677,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.3,Figure 4.3. Balanced descriptive p95 contrast by scenario. Paired bars show the median of platform-level cell medians within the traditional and managed groups; the values are the balanced descriptive summaries reported in Table 4.10.,image20.png,rId81,720,721,1,192974,34A5D3DA2CBF3AD5AC23E0D75D49F465DA7B89336A2B36926F988EC7708CCFEC,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.4,Figure 4.4. Median callback-defined goodput by platform and scenario. This figure visualises the goodput values recorded in Table 4.3.,image21.png,rId94,730,731,1,299781,28FF7A5791A9AA1BD000893D98050E822EE34FC32FA0ACF14D0F76490C3078FD,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.5,"Figure 4.5. Median callback-defined request-failure rate by platform and scenario. Scenario-wise horizontal bars show the median percentage request-failure rate recorded in Table 4.3, using a shared x-axis for direct comparison.",image22.png,rId95,732,733,1,322668,0852D56F62AEF77C9F46473AFCD71E16F325A5802184F582B0C9A90BD6876B14,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.6,"Figure 4.6. Median Apdex by platform and scenario using the study’s Apdex parameters (T = 500 ms; F = 2,000 ms). This figure visualises the Apdex values recorded in Table 4.3.",image23.png,rId96,734,735,1,322259,6D05783F0364FF41EA0EDE21BF934F4056FD60A8D9714899B7783CA499BD6236,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.7,"Figure 4.7. Balanced descriptive callback-defined goodput contrast by scenario. Paired bars show the balanced group medians from Table 4.10, making the small traditional-versus-managed delivery differences directly readable.",image24.png,rId97,736,737,1,212185,FCDBC807D7C6BF65E46E1A3F9450F4A0617FD4D756AFF75E121B6B3CD6B2EA9E,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.8,"Figure 4.8. Warm-up ratio by platform across steady scenarios A–C, separated into traditional and managed platform families. Reference line = 1.0; values below 1.0 indicate lower early p95 than later p95, and values above 1.0 indicate higher early p95. This figure visualises the warm-up evidence recorded in Table 4.5.",image25.png,rId110,748,749,1,174932,FF36397F8AA5AF294667877E9AB6A54A32CB3A5657AE8410F4857B5AD34A70F2,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.9,"Figure 4.9. Scenario D burst phase-level p95 summary (log scale). Each line connects the exact phase-level p95 summaries from Table 4.6: baseline p95, peak-window p95, peak-maximum p95, and post-ramp p95. Labels identify peak-window cells where the retained per-second p95 exceeded one second.",image26.png,rId123,754,755,1,416139,891A9737E90BEE99676A6AB9DF759C2501B58F74C8DF062A47E2764AC8917C4B,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.10,"Figure 4.10. Supplementary post-idle first-request latency versus immediate warm repeat for managed platforms. Grouped median bars compare the first request after the script-defined 360-second no-probe interval with the immediate warm repeat (log-scale x-axis). Multiplier labels use the median of the valid within-pair first/repeat ratios, matching Table 4.7. Koyeb has four valid pairs out of five attempted. This descriptive probe is outside the 280-run primary matrix.",image27.png,rId124,759,760,1,189163,59571A260FC2D56E93071A50D48A20BA99B7547361FABC04DE5FC6F9A3E526C9,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.11,Figure 4.11. Replication-level p95 latency medians with 95% percentile bootstrap confidence intervals by scenario.,image28.png,rId125,770,771,1,216096,90CD634E857DA2E187088AE808921A40C62499104B09FDEDA3B14F68111B8C93,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.12,"Figure 4.12. Modelled warm cost against median p95 latency. Each marker is one platform-scenario cell: the horizontal position is the platform’s modelled USD per million callback-qualified responses (Table 4.12; log scale) and the vertical position is the cell-median p95 latency (Table 4.2; log scale); marker shape encodes the scenario. The plot is conditional decision-support evidence under the stated warm-cost assumptions, not an overall ranking.",image29.png,rId167,786,787,1,122215,81EA2DB0CC06B8EFBEAB19A07B77D8841C72028FF047582A209B98C0D1D80585,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
